,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt
42,1.29e+18,"#Agataliikomuttuntu:Abayizi baduukiridde omusomesa waabwe.
https://t.co/3kM2NMrXwr https://t.co/11RmEGp6NN",1,4
43,1.29e+18,"#Agataliikomuttuntu:Abasomesa baagala kubaggya ku muggalo.
https://t.co/pyQHYwslP2 https://t.co/L2qi5zuNjZ",1,2
44,1.29e+18,"#Agataliikomuttuntu:Mufti atongozza ennyumba ya KADHI
https://t.co/pyQHYwslP2 https://t.co/j7M41MhqeM",0,2
45,1.29e+18,#Agataliikomuttuntu:Tutandise amawulire gaffe aga leero twegatteko ku @bukeddetv omusomi ye Diana Nalunkuumaâ€¦ https://t.co/wCZSCTesgU,1,2
46,1.29e+18,"#Agataliikomuttuntu:Aliko obulemu ku mubiri asaba kuyambibwa.
https://t.co/0GXZ5aqLVd @BeckyCynthiaN https://t.co/IGlrMPSkXQ",1,4
47,1.29e+18,"#Agataliikomuttuntu:Ow'emyaka 85 alya mmere nvudu.
https://t.co/0GXZ5aqLVd @BeckyCynthiaN https://t.co/arLT6bWGXz",2,4
48,1.29e+18,"#Agataliikomuttuntu:Asidi ayokezza abakozi kkolero lya sukaali.
https://t.co/0GXZ5aqLVd https://t.co/NP7B3jBcYV",1,7
49,1.29e+18,#Agataliikonfuufu: RDC ayingidde mu nsonga z'ettaka erikayanirwa . https://t.co/7TTVSZGcdx via @YouTube,0,0
50,1.29e+18,"#Agataliikonfuufu: Ba mulekwa ba ""Salompas""  balajaana. https://t.co/pZjeuPFYHZ via @YouTube",0,0
51,1.29e+18,#Agataliikonfuufu: Poliisi ekubye amasasi mu basubuuzi. https://t.co/4z0Ivyj1wN via @YouTube,0,0
52,1.29e+18,"#Agataliikonfuufu:  Tosubwa "" Pass PLE"" mu lupapula lwa Bukedde. https://t.co/a5mBL7UDFa via @YouTube",0,0
53,1.29e+18,#Agataliikonfuufu: Enteekateeka y'Emyoga etongozeddwa. https://t.co/bn2HJV0Pku via @YouTube,0,0
54,1.29e+18,#Agataliikonfuufu: Okusaala Eid Adhuha kwa Lwakutaano. https://t.co/Kd9pfNGRQg via @YouTube,0,0
55,1.29e+18,#Agataliikonfuufu:  Babiri bazuuliddwaamu COVID19 ku kitebe kya NRM . https://t.co/8Omi8sbAc8 via @YouTube,0,0
56,1.29e+18,#Agataliikonfuufu:  Munnamawulire Basajjamivule ayimbuddwa. https://t.co/KDpabqV1vv via @YouTube,0,0
57,1.29e+18,#Agataliikonfuufu: Okusunsulamu abaanavuganya mu kamyufu ka NRM. https://t.co/N7b6L4lUqD via @YouTube,0,0
58,1.29e+18,#Agataliikonfuufu:  Abazadde basattira olw'omwana waabwe. https://t.co/oFkKiJizsr via @YouTube,0,0
59,1.29e+18,#Agataliikonfuufu:  Aba Boda baweereddwa emyezi esatu okuva mu kibuga. https://t.co/R1HJc9blpi via @YouTube,0,0
60,1.29e+18,"#Agataliikonfuufu:  Tosubwa "" Pass PLE"" mu lupapula lwa Bukedde. Omukungaanya akulaze ebyongeddwaamu.â€¦ https://t.co/Kr2MDM6YAJ",0,1
61,1.29e+18,#Agataliikonfuufu: - Okusaala Eid Adhuha kwa Lwakutaano. Abasiraamu bonna bakubiriziddwa okusaddaaka. https://t.co/rUQ5ImLb8m,0,1
62,1.29e+18,"#Agataliikonfuufu:  Mmotoka za buyonjo nazo zaakukoma mabbali wa kibuga. 
https://t.co/3TgoC15kwz https://t.co/iNmkgLVr12",0,1
63,1.29e+18,#Agataliikonfuufu: - Aba Boda baweereddwa emyezi esatu okuva mu kibuga. Abantu baakukozesa bbaasi ezigenda okuletebâ€¦ https://t.co/fHvhTSWIaA,0,2
64,1.29e+18,"#Agataliikonfuufu: - Poliisi ekubye amasasi mu basubuuzi. Bakedde kwekalakaasa lwa lenti. 
https://t.co/3TgoC15kwz https://t.co/LFkuNoSasK",0,4
65,1.29e+18,"#Leero: mu #Agataliikonfuufu:  - Amasasi ganyoose mu kibuga ng'abasubuuzi bekalakaasa. 
- Abakozi babiri ku kitebeâ€¦ https://t.co/2nrvsWe0up",0,2
66,1.29e+18,#Uganda: Agataliikonfuufu   Okusunsulamu aba CEC kufundikiddwa. https://t.co/eOPE4OG17p,0,0
67,1.29e+18,#Uganda: Agataliikonfuufu      NUP etongozza Kkaadi ne Ssemateeka. https://t.co/JKetuxSbSE,0,0
68,1.29e+18,#Uganda: Agataliikonfuufu    Pulezidenti Museveni ayiseemu butereevu. https://t.co/OgNmEWyKpy,0,0
69,1.29e+18,#Uganda: Agataliikonfuufu   Sarah KAnyike asunsuddwa akakiiko. https://t.co/b6XJ8aMAmr,0,0
70,1.29e+18,#Uganda: Agataliikonfuufu:    Richard Ddamulira: Muzannyi wa Nsambaggere. https://t.co/ydcixV28OZ,0,0
71,1.29e+18,#Agataliikonfuufu:  SPORTS:  Richard Ddamulira: Muzannyi wa Nsambaggere. https://t.co/xL2tWKXBJ1 via @YouTube,0,0
72,1.29e+18,#Agataliikonfuufu:   Sarah Kanyike asunsuddwa akakiiko. https://t.co/h56uT2XrPu via @YouTube,0,0
73,1.29e+18,#Agataliikonfuufu:    Pulezidenti Museveni ayiseemu butereevu. https://t.co/Je1hvetq0h via @YouTube,0,1
74,1.29e+18,#Agataliikonfuufu:   NUP etongozza Kkaadi ne Ssemateeka. https://t.co/34z10u9crk via @YouTube,0,0
75,1.29e+18,#Agataliikonfuufu:   Okusunsulamu aba CEC kufundikiddwa. https://t.co/dPW3euQbKI via @YouTube,0,0
76,1.29e+18,#Agataliikonfuufu:  Balambudde abaaweebwa ebyuuma eby;'enjawulo. https://t.co/ri9UrNtuI8 via @YouTube,0,0
77,1.29e+18,#Agataliikonfuufu:   Mao ayogedde ku kya Lukwago okudda mu FDC. https://t.co/YSiuLdwXXo via @YouTube,0,0
78,1.29e+18,#Agataliikonfuufu:    Abezza ettaka lya Pulezidenti baleeteddwa mu kkooti. https://t.co/qGrvbGiuFp via @YouTube,0,1
79,1.29e+18,#Agataliikonfuufu  Loodi Mmeeya yegasse ku FDC. https://t.co/vcb3DySfC0 via @YouTube,0,0
80,1.29e+18,#Agataliikonfuufu   Aba Bukenya n'aba Galabuzi balwanaganye. https://t.co/u8NyeN4cuv via @YouTube,0,0
81,1.29e+18,#Agataliikonfuufu:   Bannakatemba batabukidde aba UCC. https://t.co/hEgZhHswFF via @YouTube,0,0
82,1.29e+18,#Agataliikonfuufu: Aba Bukenya n'aba Galabuzi balwanaganye. Poliisi etuuse abamu ne babuna emiwabo.â€¦ https://t.co/lyasMl0wZU,0,0
83,1.29e+18,"#Agataliikonfuufu: Bannakatemba batabukidde aba UCC. Entabwe eva ku bukwakkulizo ku mizannyo. 
https://t.co/XdCd2tjEKF",0,1
84,1.29e+18,#Agataliikonfuufu: - Mao ayogedde ku kya Lukwago okudda mu FDC. Agamba DP erina abagyegwanyiza bangi.â€¦ https://t.co/6eCTtvd04f,0,3
85,1.29e+18,"#Agataliikonfuufu: - Loodi Mmeeya yegasse ku FDC. Kkaadi ya DP agisigazza nga kijjukizo. 
https://t.co/VHprfMczcx https://t.co/g8JW4PDP7O",0,1
86,1.29e+18,#Uganda: Agataliikonfuufu:     Uganda efunye omuntu asoose okufa COVID 19. https://t.co/7nuo01s1HV,0,0
87,1.29e+18,#Uganda: Agataliikonfuufu:    Oluyimba lwa Nantaba luzaalidde https://t.co/OhYvm8XC47,0,0
88,1.29e+18,#Uganda: Agataliikonfuufu:  Omuliro gukutte ekizinga bya bukadde ne bisaanaawo https://t.co/ecC5x7xFvn,0,1
89,1.29e+18,#Uganda: Agataliikonfuufu:  Ebyâ€™omwana akaayanirwa biranze . https://t.co/x5rz0jPBlR,0,0
90,1.29e+18,#Uganda: Agataliikonfuufu:   Minisita Kabatsi awadde abatuuze akawunga. https://t.co/fmVkTaVH7p,0,0
91,1.29e+18,#Uganda: Agataliikonfuufu:  Okulwanyisa okusasaanya Corona Virus. https://t.co/cMSoa55r3t,0,0
92,1.29e+18,#Uganda: Agataliikonfuufu:   Abâ€™obulabirizi bwâ€™Abadiventi basattira. https://t.co/QAHsq8ZNPI,0,0
93,1.29e+18,#Uganda: Agataliikonfuufu:   Eyali omuddusi yeetaaga kulongoosebwa. https://t.co/jDKHrePF6P,0,0
94,1.29e+18,"#Agataliikonfuufu:   Omukazi aliko obulemu , alumirizza omusubuuzi. https://t.co/xD9ENyX0v1 via @YouTube",0,1
95,1.29e+18,#Agataliikonfuufu:    Bodaboda zizzeemu okukola olwaleero. https://t.co/HYE9A5q1Ox via @YouTube,0,1
96,1.29e+18,#Agataliikonfuufu: - Okulwanyisa okusasaanya Corona Virus. Aba Fenix bawaddeyo Leediyo 1000 ne Masiki.â€¦ https://t.co/REVFqSFRkX,0,3
97,1.29e+18,#Agataliikonfuufu: - Okusunsula abakiise ba CEC mu NRM. Pulezidenti Museveni azzaayo nkya empapula.â€¦ https://t.co/93YyFCfkqE,0,5
98,1.29e+18,"#Agataliikonfuufu:  Poliisi ewadde ensonga ku bya Kiweewa. ""Fayiro ekyali wa Ssabaawabi wa Gavumenti.â€¦ https://t.co/4U3StcfH28",0,6
99,1.29e+18,"#Agataliikonfuufu: Tugatandise.
KCCA etangaazizza ku bikwekweeto ebikoleddwa. ""Tetunnalagira Poliisi kubikola""â€¦ https://t.co/POBkWu44Z5",0,3
100,1.29e+18,#Uganda: Agataliikonfuufu:   Akeesdi zizzeemu okukola mu kibuga. https://t.co/NofZ7HwhhT,0,0
